ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789282497.906072456,2026-09-13T06:54:57.907Z,636581549907,1103895311,0.21
1789282502.914680775,2026-09-13T06:55:02.915Z,637165563281,1104518607,0.36
1789282507.922820911,2026-09-13T06:55:07.923Z,637749508857,1105148851,0.33
1789282512.932302393,2026-09-13T06:55:12.933Z,638342257487,1105793252,0.30
1789282517.940319853,2026-09-13T06:55:17.941Z,638937247783,1106430444,0.36
1789282522.948633382,2026-09-13T06:55:22.949Z,639532194275,1107079090,0.41
1789282527.956782890,2026-09-13T06:55:27.957Z,640129379963,1107713495,0.38
1789282532.964858419,2026-09-13T06:55:32.965Z,640735370961,1108404381,1.15
1789282537.972768283,2026-09-13T06:55:37.973Z,641315030229,1109028073,1.06
1789282542.980708954,2026-09-13T06:55:42.981Z,641907881635,1109674278,1.05
1789282547.989455803,2026-09-13T06:55:47.990Z,642516099393,1110329254,1.05
1789282552.997801002,2026-09-13T06:55:52.998Z,643117690229,1110991578,1.04
1789282558.005766346,2026-09-13T06:55:58.006Z,643710484269,1111651565,0.96
1789282563.013861408,2026-09-13T06:56:03.014Z,644338785019,1112308640,0.96
1789282568.022108925,2026-09-13T06:56:08.023Z,644927192833,1112928893,1.05
1789282573.030720172,2026-09-13T06:56:13.031Z,645509045017,1113521793,1.12
1789282578.038881407,2026-09-13T06:56:18.040Z,646086506971,1114129725,1.03
1789282583.047209381,2026-09-13T06:56:23.048Z,646659512665,1114721558,0.95
1789282588.055560613,2026-09-13T06:56:28.056Z,647241431411,1115349900,0.87
1789282593.063962231,2026-09-13T06:56:33.065Z,647818889789,1115932786,0.80
1789282598.071876961,2026-09-13T06:56:38.072Z,648411682441,1116566189,0.82
1789282603.079808049,2026-09-13T06:56:43.080Z,649017656169,1117213259,0.75
1789282608.087994783,2026-09-13T06:56:48.089Z,649610452695,1117851813,1.41
1789282613.096064168,2026-09-13T06:56:53.097Z,650159059529,1118433464,1.38
1789282618.104088613,2026-09-13T06:56:58.105Z,650743066651,1119025742,1.35
1789282623.112446693,2026-09-13T06:57:03.113Z,651305140341,1119599941,1.24
1789282628.121073979,2026-09-13T06:57:08.122Z,651856283271,1120170416,1.14
1789282633.129492664,2026-09-13T06:57:13.130Z,652446076382,1120787641,1.13
1789282638.137763075,2026-09-13T06:57:18.138Z,653025691878,1121408810,1.04
1789282643.145682068,2026-09-13T06:57:23.146Z,653587715106,1122014114,1.12
1789282648.153720770,2026-09-13T06:57:28.154Z,654171716194,1122644929,1.03
1789282653.162080343,2026-09-13T06:57:33.163Z,654757370654,1123272868,0.94
1789282658.170348299,2026-09-13T06:57:38.171Z,655348461232,1123922039,0.87
1789282663.178254330,2026-09-13T06:57:43.179Z,655915788714,1124524414,0.80
1789282668.187519154,2026-09-13T06:57:48.188Z,656470410356,1125063374,0.73
1789282673.195977866,2026-09-13T06:57:53.197Z,657050027678,1125649097,1.48
1789282678.204125938,2026-09-13T06:57:58.205Z,657609899592,1126212868,1.52
1789282683.213182459,2026-09-13T06:58:03.214Z,658165445680,1126785378,1.48
1789282688.221280556,2026-09-13T06:58:08.222Z,658762680462,1127424399,1.36
1789282693.229524747,2026-09-13T06:58:13.230Z,659326964964,1128029267,1.25
1789282698.238076067,2026-09-13T06:58:18.239Z,659904424584,1128680873,1.31
1789282703.246372795,2026-09-13T06:58:23.247Z,660488435846,1129318494,1.28
1789282708.254514761,2026-09-13T06:58:28.255Z,661114196160,1130000620,1.34
1789282713.262629333,2026-09-13T06:58:33.263Z,661711390310,1130686436,1.23
1789282718.271140747,2026-09-13T06:58:38.272Z,662269064260,1131274857,1.30
1789282723.279424670,2026-09-13T06:58:43.280Z,662850931710,1131905249,1.19
1789282728.287816018,2026-09-13T06:58:48.288Z,663463556302,1132594591,1.10
1789282733.295750807,2026-09-13T06:58:53.296Z,664043221200,1133226598,1.01
1789282738.303848488,2026-09-13T06:58:58.304Z,664631669500,1133875156,0.93
1789282743.312516277,2026-09-13T06:59:03.313Z,665198150678,1134461490,0.85
1789282748.320447949,2026-09-13T06:59:08.321Z,665786544194,1135057012,0.78
1789282753.328536915,2026-09-13T06:59:13.329Z,666377194274,1135680233,0.80
1789282758.336952273,2026-09-13T06:59:18.337Z,666945810230,1136276571,0.74
1789282763.345594404,2026-09-13T06:59:23.346Z,667524504945,1136896309,0.68
1789282768.354441255,2026-09-13T06:59:28.355Z,668113597707,1137525870,0.62
1789282773.362866397,2026-09-13T06:59:33.363Z,668686938106,1138133533,0.65
1789282778.371187394,2026-09-13T06:59:38.372Z,669249023615,1138736093,0.60
1789282783.379198424,2026-09-13T06:59:43.380Z,669841914983,1139379529,0.63
1789282788.387287471,2026-09-13T06:59:48.388Z,670417130127,1140034043,0.58
1789282793.395421047,2026-09-13T06:59:53.396Z,671001178320,1140664664,0.54
1789282798.404528870,2026-09-13T06:59:58.405Z,671582991088,1141319709,0.49
1789282803.412879561,2026-09-13T07:00:03.414Z,672173636142,1141959476,0.53
1789282808.421485896,2026-09-13T07:00:08.422Z,672755397014,1142589176,0.57
1789282813.429717510,2026-09-13T07:00:13.430Z,673340084356,1143197398,0.61
1789282818.438243916,2026-09-13T07:00:18.439Z,673897030146,1143778133,0.56
1789282823.447344569,2026-09-13T07:00:23.448Z,674476628341,1144379035,0.51
