LAST SEEN   TYPE      REASON             OBJECT                              MESSAGE
34m         Warning   Evicted            pod/curl-runner-65d77865d8-s647m    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-x6lpc    Successfully assigned bench/curl-runner-65d77865d8-x6lpc to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-ms9g6    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-qlnr2    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-qlnr2    Successfully assigned bench/curl-runner-65d77865d8-qlnr2 to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-rf72d    Successfully assigned bench/curl-runner-65d77865d8-rf72d to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-4nrkr    Successfully assigned bench/curl-runner-65d77865d8-4nrkr to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-ms9g6    Successfully assigned bench/curl-runner-65d77865d8-ms9g6 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-4nrkr    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-q4kb6    Successfully assigned bench/curl-runner-65d77865d8-q4kb6 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-rf72d    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-s647m    Successfully assigned bench/curl-runner-65d77865d8-s647m to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-dcf9f    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-x6lpc    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-6c6db    Successfully assigned bench/curl-runner-65d77865d8-6c6db to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-q4kb6    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-zmdnh    Successfully assigned bench/curl-runner-65d77865d8-zmdnh to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-hcv9w    Successfully assigned bench/curl-runner-65d77865d8-hcv9w to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-mzzcr    Successfully assigned bench/curl-runner-65d77865d8-mzzcr to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-v5kfc    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-hcv9w    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-v5kfc    Successfully assigned bench/curl-runner-65d77865d8-v5kfc to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-tln8n    Successfully assigned bench/curl-runner-65d77865d8-tln8n to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-tln8n    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-ts5hj    Successfully assigned bench/curl-runner-65d77865d8-ts5hj to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-dksgm    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-dksgm    Successfully assigned bench/curl-runner-65d77865d8-dksgm to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-gclrl    Successfully assigned bench/curl-runner-65d77865d8-gclrl to ocibench-control-plane
