NAMESPACE   LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
bench       39m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-771192736-A2We sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       39m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-770205504-RxT5 sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       39m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       38m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.23:8080/healthz": dial tcp 10.244.0.23:8080: connect: connection refused
bench       38m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       38m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       38m         Normal    Started                  pod/s1-probe                        Container started
bench       38m         Normal    Created                  pod/s1-probe                        Container created
bench       38m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       37m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       37m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.24:8080/healthz": dial tcp 10.244.0.24:8080: connect: connection refused
bench       36m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       36m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       36m         Normal    Created                  pod/s1-probe                        Container created
bench       36m         Normal    Started                  pod/s1-probe                        Container started
bench       36m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       35m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       35m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.25:8080/healthz": dial tcp 10.244.0.25:8080: connect: connection refused
bench       35m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       35m         Normal    Started                  pod/s1-probe                        Container started
bench       35m         Normal    Created                  pod/s1-probe                        Container created
bench       35m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       35m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       34m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       34m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.26:8080/healthz": dial tcp 10.244.0.26:8080: connect: connection refused
bench       34m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       34m         Normal    Created                  pod/s1-probe                        Container created
bench       34m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       34m         Normal    Started                  pod/s1-probe                        Container started
bench       34m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       32m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       32m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.27:8080/healthz": dial tcp 10.244.0.27:8080: connect: connection refused
bench       32m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       32m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       32m         Normal    Created                  pod/s1-probe                        Container created
bench       32m         Normal    Started                  pod/s1-probe                        Container started
bench       32m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       31m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       30m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.28:8080/healthz": dial tcp 10.244.0.28:8080: connect: connection refused
bench       30m         Normal    Started                  pod/s1-probe                        Container started
bench       30m         Normal    Created                  pod/s1-probe                        Container created
bench       30m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       30m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       30m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       29m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       29m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.29:8080/healthz": dial tcp 10.244.0.29:8080: connect: connection refused
bench       28m         Warning   Unhealthy                pod/s1-probe                        Readiness probe failed: Get "http://10.244.0.30:8080/healthz": dial tcp 10.244.0.30:8080: connect: connection refused
bench       28m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       28m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       28m         Normal    Created                  pod/s1-probe                        Container created
bench       28m         Normal    Started                  pod/s1-probe                        Container started
bench       28m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       27m         Normal    Killing                  pod/s1-probe                        Stopping container predictor
bench       26m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    (combined from similar events): Error: failed to create containerd container: error unpacking image: failed to prepare extraction snapshot "extract-811903080-JZ6S sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       25m         Normal    Pulled                   pod/curl-runner-65d77865d8-klrd7    Container image "curlimages/curl:8.9.1" already present on machine and can be accessed by the pod
bench       21m         Normal    SuccessfulCreate         replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-8tsbk
bench       21m         Normal    Scheduled                pod/curl-runner-65d77865d8-8tsbk    Successfully assigned bench/curl-runner-65d77865d8-8tsbk to ocibench-control-plane
bench       21m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-892676714-DIjy sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       21m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-651437965-4ERq sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       21m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to prepare extraction snapshot "extract-771044238-y6P_ sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       20m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-771140853-5evo sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       20m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to prepare extraction snapshot "extract-771529338-mdzJ sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       20m         Normal    Started                  pod/s2-probe                        Container started
bench       20m         Normal    Created                  pod/s2-probe                        Container created
bench       20m         Normal    Scheduled                pod/s2-probe                        Successfully assigned bench/s2-probe to ocibench-control-plane
bench       20m         Normal    Pulled                   pod/s2-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       20m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-771580292-z_0B sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       20m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-770506230-l5fG sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       19m         Warning   Failed                   pod/curl-runner-65d77865d8-8tsbk    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-771954997-mC9B sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
