ts_epoch,iso,loop,file,bytes,ms,errno
1789255064.145949,2026-09-12T23:17:44Z,22,ballast-15.bin,536870912,534.350,
1789255064.680441,2026-09-12T23:17:44Z,22,ballast-24.bin,536870912,539.990,
1789255065.220508,2026-09-12T23:17:45Z,22,ballast-33.bin,536870912,537.620,
1789255065.758206,2026-09-12T23:17:45Z,22,ballast-21.bin,536870912,771.210,
1789255066.529488,2026-09-12T23:17:46Z,22,ballast-35.bin,536870912,605.653,
1789255067.135221,2026-09-12T23:17:47Z,22,ballast-5.bin,536870912,2988.644,
1789255070.123940,2026-09-12T23:17:50Z,22,ballast-11.bin,536870912,498.469,
1789255070.622484,2026-09-12T23:17:50Z,22,ballast-19.bin,536870912,913.798,
1789255071.536377,2026-09-12T23:17:51Z,22,ballast-16.bin,536870912,1013.533,
1789255072.549988,2026-09-12T23:17:52Z,22,ballast-20.bin,536870912,523.636,
1789255073.073706,2026-09-12T23:17:53Z,22,ballast-40.bin,536870912,516.504,
1789255073.590292,2026-09-12T23:17:53Z,22,ballast-9.bin,536870912,501.186,
1789255074.091569,2026-09-12T23:17:54Z,22,ballast-23.bin,536870912,568.575,
1789255074.660225,2026-09-12T23:17:54Z,22,ballast-10.bin,536870912,511.737,
1789255075.172033,2026-09-12T23:17:55Z,22,ballast-17.bin,536870912,2610.310,
1789255077.782440,2026-09-12T23:17:57Z,23,ballast-5.bin,536870912,513.776,
1789255078.296284,2026-09-12T23:17:58Z,23,ballast-2.bin,536870912,1658.701,
1789255079.955076,2026-09-12T23:17:59Z,23,ballast-34.bin,536870912,512.289,
1789255080.467447,2026-09-12T23:18:00Z,23,ballast-16.bin,536870912,537.320,
1789255081.004839,2026-09-12T23:18:01Z,23,ballast-32.bin,536870912,565.829,
1789255081.570741,2026-09-12T23:18:01Z,23,ballast-18.bin,536870912,536.193,
1789255082.107007,2026-09-12T23:18:02Z,23,ballast-11.bin,536870912,533.627,
1789255082.640704,2026-09-12T23:18:02Z,23,ballast-28.bin,536870912,507.814,
1789255083.148591,2026-09-12T23:18:03Z,23,ballast-4.bin,536870912,611.016,
1789255083.759683,2026-09-12T23:18:03Z,23,ballast-3.bin,536870912,502.048,
1789255084.261807,2026-09-12T23:18:04Z,23,ballast-29.bin,536870912,494.401,
1789255084.756278,2026-09-12T23:18:04Z,23,ballast-8.bin,536870912,543.361,
1789255085.299726,2026-09-12T23:18:05Z,23,ballast-25.bin,536870912,502.256,
1789255085.802055,2026-09-12T23:18:05Z,23,ballast-38.bin,536870912,1186.996,
1789255086.989136,2026-09-12T23:18:06Z,23,ballast-1.bin,536870912,516.458,
1789255087.505679,2026-09-12T23:18:07Z,23,ballast-36.bin,536870912,518.569,
1789255088.024337,2026-09-12T23:18:08Z,23,ballast-35.bin,536870912,502.478,
1789255088.526886,2026-09-12T23:18:08Z,23,ballast-12.bin,536870912,2143.406,
1789255090.670383,2026-09-12T23:18:10Z,23,ballast-19.bin,536870912,525.675,
1789255091.196136,2026-09-12T23:18:11Z,23,ballast-15.bin,536870912,1534.436,
1789255092.730644,2026-09-12T23:18:12Z,23,ballast-6.bin,536870912,545.990,
1789255093.276711,2026-09-12T23:18:13Z,23,ballast-20.bin,536870912,606.473,
1789255093.883272,2026-09-12T23:18:13Z,23,ballast-23.bin,536870912,564.944,
1789255094.448285,2026-09-12T23:18:14Z,23,ballast-9.bin,536870912,528.002,
1789255094.976406,2026-09-12T23:18:14Z,23,ballast-30.bin,536870912,534.044,
1789255095.510526,2026-09-12T23:18:15Z,23,ballast-40.bin,536870912,1921.300,
1789255097.431903,2026-09-12T23:18:17Z,23,ballast-31.bin,536870912,503.541,
1789255097.935515,2026-09-12T23:18:17Z,23,ballast-27.bin,536870912,512.407,
1789255098.448000,2026-09-12T23:18:18Z,23,ballast-37.bin,536870912,535.655,
1789255098.983730,2026-09-12T23:18:18Z,23,ballast-10.bin,536870912,2508.305,
1789255101.492111,2026-09-12T23:18:21Z,23,ballast-14.bin,536870912,2478.133,
1789255103.970343,2026-09-12T23:18:23Z,23,ballast-33.bin,536870912,658.618,
1789255104.629032,2026-09-12T23:18:24Z,23,ballast-24.bin,536870912,747.586,
1789255105.376692,2026-09-12T23:18:25Z,23,ballast-26.bin,536870912,541.614,
1789255105.918522,2026-09-12T23:18:25Z,23,ballast-7.bin,536870912,525.764,
1789255106.444419,2026-09-12T23:18:26Z,23,ballast-21.bin,536870912,539.465,
1789255106.983958,2026-09-12T23:18:26Z,23,ballast-13.bin,536870912,677.058,
1789255107.661085,2026-09-12T23:18:27Z,23,ballast-17.bin,536870912,543.971,
1789255108.205131,2026-09-12T23:18:28Z,23,ballast-22.bin,536870912,1169.734,
1789255109.374943,2026-09-12T23:18:29Z,23,ballast-39.bin,536870912,2454.762,
1789255111.829800,2026-09-12T23:18:31Z,24,ballast-37.bin,536870912,503.759,
1789255112.333633,2026-09-12T23:18:32Z,24,ballast-1.bin,536870912,508.972,
1789255112.842685,2026-09-12T23:18:32Z,24,ballast-32.bin,536870912,541.469,
1789255113.384226,2026-09-12T23:18:33Z,24,ballast-40.bin,536870912,538.909,
1789255113.923209,2026-09-12T23:18:33Z,24,ballast-34.bin,536870912,518.266,
1789255114.441555,2026-09-12T23:18:34Z,24,ballast-30.bin,536870912,540.943,
1789255114.982565,2026-09-12T23:18:34Z,24,ballast-24.bin,536870912,519.090,
1789255115.501725,2026-09-12T23:18:35Z,24,ballast-33.bin,536870912,517.784,
1789255116.019594,2026-09-12T23:18:36Z,24,ballast-23.bin,536870912,517.775,
1789255116.537443,2026-09-12T23:18:36Z,24,ballast-27.bin,536870912,509.702,
1789255117.047217,2026-09-12T23:18:37Z,24,ballast-4.bin,536870912,503.440,
1789255117.550740,2026-09-12T23:18:37Z,24,ballast-20.bin,536870912,501.884,
1789255118.052695,2026-09-12T23:18:38Z,24,ballast-14.bin,536870912,500.380,
1789255118.553169,2026-09-12T23:18:38Z,24,ballast-19.bin,536870912,506.279,
1789255119.059549,2026-09-12T23:18:39Z,24,ballast-18.bin,536870912,506.012,
1789255119.565640,2026-09-12T23:18:39Z,24,ballast-5.bin,536870912,558.221,
1789255120.123933,2026-09-12T23:18:40Z,24,ballast-13.bin,536870912,516.948,
1789255120.640955,2026-09-12T23:18:40Z,24,ballast-7.bin,536870912,530.512,
1789255121.171562,2026-09-12T23:18:41Z,24,ballast-10.bin,536870912,526.342,
1789255121.698956,2026-09-12T23:18:41Z,24,ballast-38.bin,536870912,536.563,
1789255122.235605,2026-09-12T23:18:42Z,24,ballast-2.bin,536870912,541.877,
1789255122.777558,2026-09-12T23:18:42Z,24,ballast-22.bin,536870912,1829.001,
1789255124.606630,2026-09-12T23:18:44Z,24,ballast-16.bin,536870912,518.296,
1789255125.124997,2026-09-12T23:18:45Z,24,ballast-28.bin,536870912,510.911,
1789255125.635979,2026-09-12T23:18:45Z,24,ballast-35.bin,536870912,2411.289,
1789255128.047381,2026-09-12T23:18:48Z,24,ballast-6.bin,536870912,513.545,
1789255128.560993,2026-09-12T23:18:48Z,24,ballast-3.bin,536870912,895.443,
1789255129.456513,2026-09-12T23:18:49Z,24,ballast-15.bin,536870912,1315.462,
1789255130.772050,2026-09-12T23:18:50Z,24,ballast-31.bin,536870912,1700.907,
1789255132.473027,2026-09-12T23:18:52Z,24,ballast-25.bin,536870912,1310.121,
1789255133.783226,2026-09-12T23:18:53Z,24,ballast-9.bin,536870912,550.871,
1789255134.334169,2026-09-12T23:18:54Z,24,ballast-39.bin,536870912,549.955,
1789255134.884195,2026-09-12T23:18:54Z,24,ballast-26.bin,536870912,591.477,
1789255135.475746,2026-09-12T23:18:55Z,24,ballast-12.bin,536870912,545.070,
1789255136.020886,2026-09-12T23:18:56Z,24,ballast-17.bin,536870912,526.472,
1789255136.547451,2026-09-12T23:18:56Z,24,ballast-11.bin,536870912,522.288,
1789255137.069808,2026-09-12T23:18:57Z,24,ballast-8.bin,536870912,1229.544,
